dates,hospitalisations
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,0
12/03/2020,0
13/03/2020,0
14/03/2020,0
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,0
30/03/2020,0
31/03/2020,0
01/04/2020,0
02/04/2020,0
03/04/2020,1
04/04/2020,1
05/04/2020,1
06/04/2020,1
07/04/2020,2
08/04/2020,2
09/04/2020,3
10/04/2020,4
11/04/2020,6
12/04/2020,6
13/04/2020,7
14/04/2020,8
15/04/2020,8
16/04/2020,10
17/04/2020,11
18/04/2020,12
19/04/2020,14
20/04/2020,15
21/04/2020,16
22/04/2020,17
23/04/2020,19
24/04/2020,20
25/04/2020,21
26/04/2020,25
27/04/2020,29
28/04/2020,32
29/04/2020,35
30/04/2020,39
01/05/2020,42
02/05/2020,48
03/05/2020,53
04/05/2020,59
05/05/2020,63
06/05/2020,68
07/05/2020,72
08/05/2020,76
09/05/2020,80
10/05/2020,85
11/05/2020,93
12/05/2020,102
13/05/2020,108
14/05/2020,113
15/05/2020,115
16/05/2020,116
17/05/2020,116
18/05/2020,116
19/05/2020,116
20/05/2020,115
21/05/2020,113
22/05/2020,111
23/05/2020,109
24/05/2020,107
25/05/2020,106
26/05/2020,103
27/05/2020,100
28/05/2020,97
29/05/2020,94
30/05/2020,91
31/05/2020,88
01/06/2020,85
02/06/2020,81
03/06/2020,78
04/06/2020,74
05/06/2020,71
06/06/2020,68
07/06/2020,64
08/06/2020,61
09/06/2020,58
10/06/2020,53
11/06/2020,47
12/06/2020,40
13/06/2020,34
14/06/2020,28
15/06/2020,21
16/06/2020,20
17/06/2020,19
18/06/2020,17
19/06/2020,16
20/06/2020,15
21/06/2020,14
22/06/2020,12
23/06/2020,11
24/06/2020,10
25/06/2020,9
26/06/2020,8
27/06/2020,7
28/06/2020,6
29/06/2020,6
30/06/2020,5
01/07/2020,4
02/07/2020,4
03/07/2020,4
04/07/2020,3
05/07/2020,3
06/07/2020,3
07/07/2020,3
08/07/2020,3
09/07/2020,3
10/07/2020,2
11/07/2020,2
12/07/2020,1
13/07/2020,1
14/07/2020,0
15/07/2020,0
16/07/2020,0
17/07/2020,0
18/07/2020,0
19/07/2020,0
20/07/2020,0
21/07/2020,0
22/07/2020,0
23/07/2020,0
24/07/2020,0
25/07/2020,0
26/07/2020,0
27/07/2020,0
28/07/2020,0
29/07/2020,0
30/07/2020,0
31/07/2020,0
01/08/2020,0
02/08/2020,0
03/08/2020,0
04/08/2020,0
05/08/2020,0
06/08/2020,0
07/08/2020,0
08/08/2020,0
09/08/2020,0
10/08/2020,0
11/08/2020,0
12/08/2020,0
13/08/2020,0
14/08/2020,0
15/08/2020,0
16/08/2020,0
17/08/2020,0
18/08/2020,0
19/08/2020,0
20/08/2020,0
21/08/2020,0
22/08/2020,0
23/08/2020,0
24/08/2020,0
25/08/2020,0
26/08/2020,0
27/08/2020,0
28/08/2020,0
29/08/2020,0
30/08/2020,0
31/08/2020,0
01/09/2020,0
02/09/2020,0
03/09/2020,0
04/09/2020,0
05/09/2020,0
06/09/2020,0
07/09/2020,0
08/09/2020,0
09/09/2020,0
10/09/2020,0
11/09/2020,0
12/09/2020,0
13/09/2020,0
14/09/2020,0
15/09/2020,0
16/09/2020,0
17/09/2020,0
18/09/2020,0
19/09/2020,0
20/09/2020,0
21/09/2020,0
22/09/2020,0
23/09/2020,0
24/09/2020,0
25/09/2020,0
26/09/2020,0
27/09/2020,0
28/09/2020,0
29/09/2020,0
30/09/2020,0
01/10/2020,0
02/10/2020,0
03/10/2020,0
04/10/2020,0
05/10/2020,0
06/10/2020,0
07/10/2020,0
08/10/2020,0
09/10/2020,0
10/10/2020,0
11/10/2020,0
12/10/2020,0
13/10/2020,0
14/10/2020,0
15/10/2020,0
16/10/2020,0
17/10/2020,0
18/10/2020,0
19/10/2020,0
20/10/2020,0
21/10/2020,0
22/10/2020,0
23/10/2020,0
24/10/2020,0
25/10/2020,0
26/10/2020,0
27/10/2020,0
28/10/2020,0
29/10/2020,0
30/10/2020,0
31/10/2020,0
01/11/2020,0
02/11/2020,0
03/11/2020,0
04/11/2020,0
05/11/2020,0
06/11/2020,0
07/11/2020,0
08/11/2020,0
09/11/2020,0
10/11/2020,0
11/11/2020,0
12/11/2020,0
13/11/2020,0
14/11/2020,0
15/11/2020,0
16/11/2020,0
17/11/2020,0
18/11/2020,0
19/11/2020,0
20/11/2020,0
21/11/2020,0
22/11/2020,0
23/11/2020,0
24/11/2020,0
25/11/2020,0
26/11/2020,0
27/11/2020,0
28/11/2020,0
29/11/2020,0
30/11/2020,0
01/12/2020,0
02/12/2020,0
03/12/2020,0
04/12/2020,0
05/12/2020,0
06/12/2020,0
07/12/2020,0
08/12/2020,0
09/12/2020,0
10/12/2020,0
11/12/2020,0
12/12/2020,0
13/12/2020,0
14/12/2020,0
15/12/2020,0
16/12/2020,0
17/12/2020,0
18/12/2020,0
19/12/2020,0
20/12/2020,0
21/12/2020,0
22/12/2020,0
23/12/2020,0
24/12/2020,0
25/12/2020,0
26/12/2020,0
27/12/2020,0
28/12/2020,0
29/12/2020,0
30/12/2020,0
31/12/2020,0
